email,password,first_name,last_name,phone,address,city,zip_code,country,date_joined,pet_name,pet_type,pet_gender,pet_breed,pet_neutered,pet_age_category,pet_age_years,pet_age_months,pet_age_weeks,pet_weight,pet_body_type,pet_activity_level,pet_food_types,pet_food_feeling,pet_food_importance,pet_treat_frequency,pet_food_allergies,pet_health_issues
jan.hendriks0100@gmail.com,Jahe60@2025o,Jan,Hendriks,+31 6 32099242,Damrak 78,The Hague,5932 MF,Netherlands,2025-12-11T21:34:11,Max,Dog,Girl,Labrador Retriever,false,A Mature Dog,2.0,8.0,0.0,10.4,A bit chubby,Active,"Dry,Raw",Very fussy,Supports full-body health,Doesn't eat any,Nothing,No Health Issues
jan.vandenberg0101@icloud.com,Java20@2024i,Jan,van den Berg,+31 6 54970870,Witte de Withstraat 168,Eindhoven,8672 MX,Netherlands,2025-10-10T21:42:29,Max,Dog,Girl,French Bulldog,true,A Senior Dog,12.0,4.0,0.0,6.4,A little skinny,Active,"Dry,Home-Cooked",A good eater,Supports full-body health,Has lots,Goat,No Health Issues
sude.korkmaz0102@hotmail.com,Suko16!2024y,Sude,Korkmaz,+90 5579 749 61 58,Cumhuriyet Cd 200,Üsküdar,23442,Turkey,2025-10-09T18:03:30,Luna,Cat,Boy,British Shorthair,true,An Adult Cat,4.0,2.0,0.0,5.3,A little skinny,Very active,"Raw,Wet",A good eater,Great value,Has lots,Nothing,No Health Issues
william.hernandez0103@icloud.com,Wihe62$2025t,William,Hernandez,+1 (384) 881-8161,Pine Ave 93,Los Angeles,25025,United States,2025-11-01T16:22:02,Coco,Cat,Boy,Maine Coon,false,An Adult Cat,7.0,4.0,0.0,7.1,A bit chubby,A serial snoozer,Dry,Can be fussy,Great value,Doesn't eat any,"Dairy,Quinoa",Struvite stones
aylin.yalcin0104@hotmail.com,Ayya24@2024f,Aylin,Yalçın,+90 5457 690 19 95,Atatürk Blv 295,Ankara,54713,Turkey,2025-12-10T19:25:52,,,,,,,,,,,,,,,,,,
roya.moradi0105@gmail.com,Romo85#2025l,Roya,Moradi,+98 949 791 2996,Pasdaran Ave 276,Tehran,36780-53066,Iran,2025-10-22T13:19:06,Zeus,Dog,Girl,Poodle,false,A Mature Dog,2.0,3.0,0.0,10.1,A little skinny,Active,"Home-Cooked,Raw",Can be fussy,Made with top-quality ingredients,Doesn't eat any,Nothing,"Joint problems,Obesity"
ethan.thomas0106@icloud.com,Etth58@2024j,Ethan,Thomas,+1 (964) 945-5774,Oak St 91,Los Angeles,27286,United States,2025-11-13T09:31:13,Zoe,Cat,Boy,Birman,false,An Adult Cat,4.0,5.0,0.0,5.1,Ideal,Active,Raw,A foodie,Made with top-quality ingredients,Has some,Nothing,No Health Issues
sahar.nouri0107@outlook.com,Sano87@2024c,Sahar,Nouri,+98 973 312 1495,Niavaran St 19,Tehran,83863-42253,Iran,2025-10-11T13:34:34,Sushi,Cat,Girl,Ragdoll,false,An Adult Cat,3.0,4.0,0.0,3.8,Just right,Very active,Raw,Very fussy,Great value,Has some,Nothing,No Health Issues
emil.laine0108@outlook.com,Emla24#2024j,Emil,Laine,+358 47 483 8361,Mannerheimintie 134,Espoo,64155,Finland,2025-10-05T20:20:31,Bailey,Dog,Girl,Mixed,false,Puppy,0.0,10.0,3.0,17.5,Just right,Active,"Dry,Home-Cooked,Wet",A foodie,Made with top-quality ingredients,Has some,Nothing,No Health Issues
amelia.wilson0109@outlook.com,Amwi68#2024z,Amelia,Wilson,+1 (847) 874-2458,Maple St 255,Chicago,20698,United States,2025-10-23T22:08:38,Koda,Dog,Girl,Bulldog (English Bulldog),true,A Mature Dog,6.0,9.0,0.0,20.4,Just right,Active,"Home-Cooked,Raw",Can be fussy,Tasty and enjoyable,Doesn't eat any,Nothing,No Health Issues
